date,metric,value
2025-12-04,current_price,2434.2395857025804
2025-12-04,pe_ratio,11.995223216307725
2025-12-04,pb_ratio,2.915154245714757
2025-12-04,ps_ratio,5.98024010530438
2025-12-04,peg_ratio,1.0214827496210748
2025-12-04,ev_ebitda,17.99777669773097
2025-12-04,dividend_yield,2.7160913017599473
2025-12-04,market_cap,101715446.94908005
2025-12-04,eps,204.24797069796753
2025-12-04,book_value,840.4358032174358
2025-12-04,roe,13.79757637129967
2025-12-04,roce,11.077406697272654
2025-12-04,debt_to_equity,0.31255154342236363
2025-12-04,current_ratio,1.1864850903697792
