date,metric,value
2025-12-04,current_price,1587.6520268513837
2025-12-04,pe_ratio,34.565304229931975
2025-12-04,pb_ratio,5.0134685421492335
2025-12-04,ps_ratio,7.902780412946316
2025-12-04,peg_ratio,2.315644864140376
2025-12-04,ev_ebitda,24.810864376623435
2025-12-04,dividend_yield,0.6020088885083772
2025-12-04,market_cap,168894946.54813722
2025-12-04,eps,43.9747322890261
2025-12-04,book_value,303.18331255518126
2025-12-04,roe,33.88383848302544
2025-12-04,roce,37.89146819059607
2025-12-04,debt_to_equity,0.16429547217999974
2025-12-04,current_ratio,1.659319829502328
