date,metric,value
2025-12-04,current_price,3876.2069678982325
2025-12-04,pe_ratio,31.585325488451634
2025-12-04,pb_ratio,7.745491877026792
2025-12-04,ps_ratio,6.482426844676205
2025-12-04,peg_ratio,1.2753387377370924
2025-12-04,ev_ebitda,16.722790862585693
2025-12-04,dividend_yield,0.6728632410464892
2025-12-04,market_cap,934534830.7730918
2025-12-04,eps,121.89204766649165
2025-12-04,book_value,497.06333195173045
2025-12-04,roe,28.749665288788538
2025-12-04,roce,30.798295243849065
2025-12-04,debt_to_equity,0.18176529082739526
2025-12-04,current_ratio,1.5722899141916233
