date,metric,value
2025-12-04,current_price,1004.0716852305865
2025-12-04,pe_ratio,18.924045062753198
2025-12-04,pb_ratio,1.67506468071468
2025-12-04,ps_ratio,5.700463438574583
2025-12-04,peg_ratio,1.0394819709345353
2025-12-04,ev_ebitda,16.213977036457756
2025-12-04,dividend_yield,2.828388341393815
2025-12-04,market_cap,323459003.2161912
2025-12-04,eps,55.484966164376644
2025-12-04,book_value,626.8414659379057
2025-12-04,roe,14.041830766725068
2025-12-04,roce,12.416360775823616
2025-12-04,debt_to_equity,8.171516808643755
2025-12-04,current_ratio,2.2415980536929796
