date,open,high,low,close,volume
2025-03-28 19:54:08.033065,1631.1302232245596,1638.9071628898062,1579.2228635800288,1619.051595075046,2385013
2025-03-29 19:54:08.033065,1591.6206981661915,1639.3047161005247,1571.594814959713,1601.8306410189148,2577740
2025-03-30 19:54:08.033065,1629.361921845362,1667.3925186992212,1610.5497188846207,1641.1221600738756,1991342
2025-03-31 19:54:08.033065,1669.9568315192937,1702.8946688743263,1636.2250013085973,1653.8183571227962,5216015
2025-04-01 19:54:08.033065,1666.8747795279473,1695.9769838719055,1619.816362452178,1659.6591089815074,2669894
2025-04-02 19:54:08.033065,1736.561886585538,1742.1252830986436,1682.3875930905353,1722.4155362629783,8039375
2025-04-03 19:54:08.033065,1686.5448608138977,1721.4973964123328,1652.7345339769763,1690.7338193356804,6987028
2025-04-04 19:54:08.033065,1744.7300800435562,1779.714134050338,1704.1589027761024,1730.802668048631,3067437
2025-04-05 19:54:08.033065,1724.6828227409474,1774.6523288851008,1694.4783922520612,1732.868277734681,6598930
2025-04-06 19:54:08.033065,1654.5181873564534,1703.5380893901895,1628.0232362539218,1666.5047297120652,8585638
2025-04-07 19:54:08.033065,1705.2614734997712,1745.1991442545193,1695.9431276799244,1720.4638703358667,9971992
2025-04-08 19:54:08.033065,1703.3041866053404,1750.2351393274853,1694.8832233373723,1716.34649572565,5066887
2025-04-09 19:54:08.033065,1760.7792193457037,1807.6675688020393,1719.408887460246,1764.3439924567433,9412427
2025-04-10 19:54:08.033065,1796.5882640270029,1809.696430275757,1749.9636284355029,1787.6063207844834,298925
2025-04-11 19:54:08.033065,1821.1476571788166,1839.7422539621966,1795.970630649095,1818.406960592081,9229355
2025-04-12 19:54:08.033065,1898.1741103648776,1935.1389156779917,1836.0788025754919,1891.1345589402863,8142952
2025-04-13 19:54:08.033065,1886.928330364415,1948.182002530558,1881.7174618227957,1903.607384833886,2993196
2025-04-14 19:54:08.033065,1920.6009019238331,1942.0336344757568,1860.947623044724,1912.5663659983757,838843
2025-04-15 19:54:08.033065,1911.6821791674909,1961.9003569978565,1883.6534230765872,1920.8560337740214,8565652
2025-04-16 19:54:08.033065,1851.8864286168202,1892.1076948825057,1831.985237176738,1858.2714377855941,4341716
2025-04-17 19:54:08.033065,1895.1605117248234,1954.3518370502113,1863.8405143426278,1898.3022891412418,5645896
2025-04-18 19:54:08.033065,1938.5421961096092,1983.0335861402143,1900.6827482769725,1939.0813789750841,1496001
2025-04-19 19:54:08.033065,1962.4526032504518,2004.5971830152694,1931.5773115629856,1970.472562879549,3271855
2025-04-20 19:54:08.033065,2014.3576676352866,2036.721281329273,1950.6459772519102,1994.85216856849,7416663
2025-04-21 19:54:08.033065,1984.186428374863,2047.2422049501658,1972.0645644724796,1998.9470536387312,1684445
2025-04-22 19:54:08.033065,2086.4685143056995,2147.489159749653,2052.1187827772205,2091.120470387781,8439420
2025-04-23 19:54:08.033065,2139.3582000074207,2161.0573693443284,2098.658153266088,2134.186725628371,874871
2025-04-24 19:54:08.033065,2108.97847659809,2139.3774887194086,2053.3559416689,2099.588032673855,9081731
2025-04-25 19:54:08.033065,2059.489833053809,2129.2686190900477,2030.600445967313,2069.0693084267036,3543957
2025-04-26 19:54:08.033065,2055.5361391701517,2095.997612455987,1989.604428043269,2038.3250623397,5105801
2025-04-27 19:54:08.033065,1925.6983047202236,1977.3551338715592,1907.0287487571218,1934.3849101912535,8110471
2025-04-28 19:54:08.033065,1913.6850116451737,1930.8289373491411,1870.7053802353357,1910.083017560341,2760297
2025-04-29 19:54:08.033065,1981.0903076390455,2002.4852148803736,1925.335817935711,1963.1542611451391,1202179
2025-04-30 19:54:08.033065,1980.9568556464028,2006.9126524249968,1945.9072051557052,1973.7315415592604,2359511
2025-05-01 19:54:08.033065,1915.2551403043738,1941.368984826769,1851.7619875093,1906.6802093754993,7934310
2025-05-02 19:54:08.033065,1967.4031058031437,2008.3459023027242,1926.2892259917855,1956.5766336127679,5849716
2025-05-03 19:54:08.033065,1935.1668632141827,1963.4493328038036,1891.6179100999718,1919.918094754791,4094333
2025-05-04 19:54:08.033065,1899.8728271737575,1930.5415044101335,1850.5873224756972,1896.8353489233423,9739969
