date,value,indicator,unit
2023-12-31 19:54:04.010147,1.1949279287078127,iip_growth,%
2024-01-31 19:54:04.010147,1.646744389629519,iip_growth,%
2024-02-29 19:54:04.010147,2.900834734522298,iip_growth,%
2024-03-31 19:54:04.010147,3.335568855475447,iip_growth,%
2024-04-30 19:54:04.010147,2.281124951109424,iip_growth,%
2024-05-31 19:54:04.010147,3.3045590722994813,iip_growth,%
2024-06-30 19:54:04.010147,2.9325435144274614,iip_growth,%
2024-07-31 19:54:04.010147,1.3384480822406917,iip_growth,%
2024-08-31 19:54:04.010147,3.7553826716024887,iip_growth,%
2024-09-30 19:54:04.010147,1.33722978410407,iip_growth,%
2024-10-31 19:54:04.010147,1.867439854964874,iip_growth,%
2024-11-30 19:54:04.010147,1.970512681874383,iip_growth,%
2024-12-31 19:54:04.010147,2.1031458867979613,iip_growth,%
2025-01-31 19:54:04.010147,2.815321088641562,iip_growth,%
2025-02-28 19:54:04.010147,3.597104337999343,iip_growth,%
2025-03-31 19:54:04.010147,6.146872760403258,iip_growth,%
2025-04-30 19:54:04.010147,4.671031183347093,iip_growth,%
2025-05-31 19:54:04.010147,1.8790296633254011,iip_growth,%
2025-06-30 19:54:04.010147,2.8160722819901944,iip_growth,%
2025-07-31 19:54:04.010147,3.775401708676305,iip_growth,%
2025-08-31 19:54:04.010147,2.702781602421657,iip_growth,%
2025-09-30 19:54:04.010147,5.0581328826341885,iip_growth,%
2025-10-31 19:54:04.010147,4.688245443636382,iip_growth,%
2025-11-30 19:54:04.010147,3.464597374999178,iip_growth,%
