date,value
2024-12-31 16:46:29.938790,2.2035381707642383
2025-01-31 16:46:29.938790,3.5635339436255293
2025-02-28 16:46:29.938790,3.829363228786526
2025-03-31 16:46:29.938790,8.613655711732052
2025-04-30 16:46:29.938790,5.001144843970019
2025-05-31 16:46:29.938790,3.0931827366761575
2025-06-30 16:46:29.938790,3.550545306640119
2025-07-31 16:46:29.938790,2.383630939091898
2025-08-31 16:46:29.938790,4.302154508533259
2025-09-30 16:46:29.938790,4.705287536962387
2025-10-31 16:46:29.938790,6.536865290440815
2025-11-30 16:46:29.938790,5.970088659450492
