date,value,indicator,unit
2023-12-31 19:54:04.010277,-5.752450357568103,trade_balance,USD Billion
2024-01-31 19:54:04.010277,-12.023126802999673,trade_balance,USD Billion
2024-02-29 19:54:04.010277,-14.21847354446357,trade_balance,USD Billion
2024-03-31 19:54:04.010277,-8.6393443567861,trade_balance,USD Billion
2024-04-30 19:54:04.010277,-11.682152010891617,trade_balance,USD Billion
2024-05-31 19:54:04.010277,-9.966633648817917,trade_balance,USD Billion
2024-06-30 19:54:04.010277,-10.184901344817833,trade_balance,USD Billion
2024-07-31 19:54:04.010277,-10.620250670724161,trade_balance,USD Billion
2024-08-31 19:54:04.010277,-14.689347501540887,trade_balance,USD Billion
2024-09-30 19:54:04.010277,-6.569643769861635,trade_balance,USD Billion
2024-10-31 19:54:04.010277,-13.452745055944241,trade_balance,USD Billion
2024-11-30 19:54:04.010277,-18.33663635034845,trade_balance,USD Billion
2024-12-31 19:54:04.010277,-14.770244544523074,trade_balance,USD Billion
2025-01-31 19:54:04.010277,-13.616698188816718,trade_balance,USD Billion
2025-02-28 19:54:04.010277,-20.22799355013937,trade_balance,USD Billion
2025-03-31 19:54:04.010277,-14.79698605301899,trade_balance,USD Billion
2025-04-30 19:54:04.010277,-17.3521111492549,trade_balance,USD Billion
2025-05-31 19:54:04.010277,-21.52731297542178,trade_balance,USD Billion
2025-06-30 19:54:04.010277,-10.409494954106467,trade_balance,USD Billion
2025-07-31 19:54:04.010277,-20.044366609499978,trade_balance,USD Billion
2025-08-31 19:54:04.010277,-19.998453375949126,trade_balance,USD Billion
2025-09-30 19:54:04.010277,-21.74906703217836,trade_balance,USD Billion
2025-10-31 19:54:04.010277,-18.692955594595464,trade_balance,USD Billion
2025-11-30 19:54:04.010277,-19.878558203518278,trade_balance,USD Billion
