date,value,indicator,unit
2023-12-31 19:54:04.009865,6.592375369818312,repo_rate,%
2024-01-31 19:54:04.009865,6.517642999159731,repo_rate,%
2024-02-29 19:54:04.009865,6.449240540823662,repo_rate,%
2024-03-31 19:54:04.009865,6.514479306599705,repo_rate,%
2024-04-30 19:54:04.009865,6.477891344979192,repo_rate,%
2024-05-31 19:54:04.009865,6.510915684903491,repo_rate,%
2024-06-30 19:54:04.009865,6.497359609371911,repo_rate,%
2024-07-31 19:54:04.009865,6.578100187526191,repo_rate,%
2024-08-31 19:54:04.009865,6.4234614661437,repo_rate,%
2024-09-30 19:54:04.009865,6.443966666842887,repo_rate,%
2024-10-31 19:54:04.009865,6.574268175950394,repo_rate,%
2024-11-30 19:54:04.009865,6.582785554950129,repo_rate,%
2024-12-31 19:54:04.009865,6.51330895420249,repo_rate,%
2025-01-31 19:54:04.009865,6.456006896365151,repo_rate,%
2025-02-28 19:54:04.009865,6.678487244241213,repo_rate,%
2025-03-31 19:54:04.009865,6.552838697157728,repo_rate,%
2025-04-30 19:54:04.009865,6.5115957287928845,repo_rate,%
2025-05-31 19:54:04.009865,6.750993097339295,repo_rate,%
2025-06-30 19:54:04.009865,6.5813421445511615,repo_rate,%
2025-07-31 19:54:04.009865,6.699730735050528,repo_rate,%
2025-08-31 19:54:04.009865,6.367280753676765,repo_rate,%
2025-09-30 19:54:04.009865,6.37714242157698,repo_rate,%
2025-10-31 19:54:04.009865,6.466793258010815,repo_rate,%
2025-11-30 19:54:04.009865,6.535727671611291,repo_rate,%
