date,value,indicator,unit
2023-12-31 19:54:04.010402,533.7703857979635,forex_reserves,USD Billion
2024-01-31 19:54:04.010402,559.4265463159402,forex_reserves,USD Billion
2024-02-29 19:54:04.010402,556.3713264443444,forex_reserves,USD Billion
2024-03-31 19:54:04.010402,562.5493670399412,forex_reserves,USD Billion
2024-04-30 19:54:04.010402,558.5258894087398,forex_reserves,USD Billion
2024-05-31 19:54:04.010402,572.1993099122534,forex_reserves,USD Billion
2024-06-30 19:54:04.010402,570.4696019346267,forex_reserves,USD Billion
2024-07-31 19:54:04.010402,551.943115178057,forex_reserves,USD Billion
2024-08-31 19:54:04.010402,568.194570082238,forex_reserves,USD Billion
2024-09-30 19:54:04.010402,581.7802215968369,forex_reserves,USD Billion
2024-10-31 19:54:04.010402,590.1951429395067,forex_reserves,USD Billion
2024-11-30 19:54:04.010402,579.7811067443889,forex_reserves,USD Billion
2024-12-31 19:54:04.010402,559.6542010757612,forex_reserves,USD Billion
2025-01-31 19:54:04.010402,584.5777262297074,forex_reserves,USD Billion
2025-02-28 19:54:04.010402,584.9770184769694,forex_reserves,USD Billion
2025-03-31 19:54:04.010402,606.2283902657889,forex_reserves,USD Billion
2025-04-30 19:54:04.010402,583.0140857379744,forex_reserves,USD Billion
2025-05-31 19:54:04.010402,584.4502002339171,forex_reserves,USD Billion
2025-06-30 19:54:04.010402,590.0186834128505,forex_reserves,USD Billion
2025-07-31 19:54:04.010402,576.4812246505713,forex_reserves,USD Billion
2025-08-31 19:54:04.010402,581.3412545632901,forex_reserves,USD Billion
2025-09-30 19:54:04.010402,589.7550487358193,forex_reserves,USD Billion
2025-10-31 19:54:04.010402,588.4604667206506,forex_reserves,USD Billion
2025-11-30 19:54:04.010402,603.9174067994896,forex_reserves,USD Billion
