date,value
2023-12-31 16:46:29.937235,4.489083956773032
2024-01-31 16:46:29.937235,2.9304037700656975
2024-02-29 16:46:29.937235,4.602659843702319
2024-03-31 16:46:29.937235,3.5260300970025535
2024-04-30 16:46:29.937235,5.562392017075782
2024-05-31 16:46:29.937235,6.722657687765539
2024-06-30 16:46:29.937235,2.5732637875624658
2024-07-31 16:46:29.937235,3.227907422801237
2024-08-31 16:46:29.937235,6.84831669825196
2024-09-30 16:46:29.937235,3.872519292964718
2024-10-31 16:46:29.937235,4.125453612989116
2024-11-30 16:46:29.937235,3.544000389021701
2024-12-31 16:46:29.937235,3.537991355502205
2025-01-31 16:46:29.937235,3.9058965794740197
2025-02-28 16:46:29.937235,3.8533493074737915
2025-03-31 16:46:29.937235,4.112721387714705
2025-04-30 16:46:29.937235,3.784109281868819
2025-05-31 16:46:29.937235,4.745199978236601
2025-06-30 16:46:29.937235,3.8771760349534636
2025-07-31 16:46:29.937235,4.258785309047273
2025-08-31 16:46:29.937235,5.6976761309429635
2025-09-30 16:46:29.937235,5.65152644149064
2025-10-31 16:46:29.937235,4.279872442290129
2025-11-30 16:46:29.937235,5.716677703660057
